,avail,forcast_avail,bottom_level,top_level,percentage
557,1,0,59,65,26
558,1,1,96,7,25
559,1,0,90,12,18
560,0,1,17,17,15
561,1,1,4,14,5
562,0,0,41,35,3
563,1,0,23,46,30
564,1,1,73,41,0
565,0,1,89,88,0
566,1,0,0,77,0
567,0,1,20,84,0
568,1,1,66,90,0
569,1,1,58,32,16
570,0,1,80,82,0
571,0,0,62,33,13
572,0,1,82,56,1
573,1,0,82,11,9
574,0,1,12,15,2
575,1,1,77,64,28
576,0,0,62,61,9
577,0,0,82,8,13
578,0,0,71,13,19
579,1,0,27,40,30
580,1,0,47,50,22
581,1,1,52,91,0
582,0,1,33,19,10
583,0,0,93,6,29
584,1,0,14,2,9
585,0,0,2,91,0
586,1,1,79,56,12
587,0,1,12,24,5
588,1,1,34,81,0
589,1,1,47,22,20
590,1,1,72,88,0
591,1,0,22,85,0
592,1,1,88,2,10
593,0,1,60,37,15
594,0,0,1,21,0
595,1,0,48,17,23
596,0,0,32,60,26
597,0,0,55,43,7
598,0,1,81,87,0
599,1,0,98,48,10
600,0,0,9,18,21
601,1,0,8,98,0
602,1,0,55,57,10
603,0,0,67,32,27
604,0,0,50,56,18
605,1,0,79,57,19
606,1,0,39,31,0
607,0,1,55,63,21
608,0,0,94,50,2
609,0,0,98,92,0
610,1,1,79,6,1
611,0,1,6,53,8
612,0,1,6,36,8
613,0,1,13,70,0
614,0,0,89,59,1
615,0,1,10,72,0
616,0,1,92,60,8
617,1,0,59,66,7
618,1,0,80,83,0
619,0,0,84,7,1
620,1,1,13,43,12
621,0,1,25,16,8
622,1,0,6,77,0
623,0,1,58,27,4
624,1,0,83,33,26
625,0,1,60,8,30
626,0,0,75,75,0
627,1,1,21,96,0
628,1,0,95,38,19
629,1,0,46,1,24
630,0,0,56,69,26
631,0,0,96,47,7
632,1,0,66,28,27
633,0,0,8,79,0
634,0,1,17,99,0
635,1,0,25,89,0
636,0,0,77,61,13
637,0,0,38,23,22
638,0,0,82,19,20
639,1,0,2,45,1
640,0,0,37,63,28
641,1,1,14,100,0
642,1,1,100,22,28
643,1,1,74,16,9
644,0,1,83,61,4
645,0,0,30,7,11
646,1,1,15,91,0
647,0,1,96,68,27
648,1,1,95,68,16
649,1,1,10,10,29
650,1,1,47,30,0
651,1,0,2,47,15
652,0,1,57,20,22
653,1,1,16,13,4
654,1,1,72,97,0
655,0,0,84,11,4
656,0,0,85,50,30
657,1,1,75,65,27
658,0,0,18,44,5
659,0,1,61,67,9
660,0,1,86,87,0
661,0,0,57,11,27
662,0,0,67,83,0
663,0,0,5,96,0
664,1,1,22,31,19
665,0,1,58,87,0
666,0,1,14,29,12
667,0,1,100,72,0
668,0,1,86,81,0
669,0,1,90,63,22
670,1,0,82,16,18
671,1,1,54,20,10
672,0,1,13,73,0
673,1,0,19,61,7
674,0,1,92,66,10
675,1,1,92,60,29
676,1,0,13,91,0
677,1,0,43,30,9
678,0,0,10,62,19
679,1,0,85,26,20
680,1,0,16,26,21
681,0,0,5,44,7
682,1,1,50,25,9
683,1,1,79,54,28
684,0,1,63,95,0
685,0,0,20,82,0
686,0,0,9,40,27
687,1,0,22,97,0
688,1,1,68,92,0
689,1,0,76,72,0
690,1,0,50,40,12
691,0,1,51,94,0
692,0,1,65,94,0
693,1,1,62,87,0
694,0,1,35,40,10
695,1,1,44,42,25
696,1,1,60,98,0
697,0,0,19,41,12
698,0,0,70,13,21
699,0,1,94,16,21
700,0,1,52,19,7
701,1,0,39,56,11
702,1,0,54,97,0
703,1,0,25,72,0
704,1,1,46,79,0
705,1,1,11,79,0
706,1,0,26,12,4
707,1,0,10,16,28
708,1,0,33,38,17
709,1,1,72,15,3
710,0,1,65,36,27
711,1,0,20,48,0
712,1,1,72,46,30
713,1,1,7,93,0
714,0,1,26,61,3
715,1,1,10,20,29
716,1,1,12,50,18
717,0,0,10,76,0
718,1,1,76,27,13
719,0,1,95,98,0
720,1,1,85,56,19
721,0,1,40,91,0
722,1,0,92,92,0
723,1,0,76,2,25
724,0,1,61,38,0
725,0,0,62,47,23
726,0,1,31,34,9
727,1,0,61,96,0
728,0,0,7,92,0
729,1,0,7,88,0
730,1,0,17,88,0
731,0,0,14,42,14
732,1,0,80,19,30
733,1,0,6,93,0
734,0,0,36,92,0
735,0,1,71,5,7
736,1,0,2,24,10
737,0,0,83,68,14
738,0,0,83,53,24
739,0,1,63,34,6
740,0,0,62,7,1
741,1,0,100,39,27
742,0,1,11,37,20
743,0,0,87,63,1
744,1,1,0,54,1
745,1,0,68,39,30
746,1,1,80,86,0
747,1,0,48,46,2
748,1,0,19,96,0
749,0,1,27,23,9
750,0,1,87,34,27
751,1,1,89,28,23
752,1,1,4,51,8
753,0,0,51,14,3
754,1,0,15,42,10
755,1,0,24,1,26
756,1,1,86,11,5
757,1,1,37,97,0
758,1,1,90,30,21
759,1,1,42,49,18
760,0,1,70,84,0
761,1,1,11,97,0
762,0,1,58,46,17
763,0,1,85,21,9
764,1,1,80,61,12
765,1,1,64,75,0
766,0,1,5,6,19
767,0,0,12,47,21
768,1,1,95,51,6
769,1,0,62,74,0
770,1,1,95,68,18
771,1,0,32,31,17
772,0,0,69,66,11
773,1,0,55,71,0
774,1,0,97,85,0
775,1,1,63,1,8
776,1,0,54,92,0
777,1,0,3,51,4
778,1,1,1,62,1
779,1,0,33,53,27
780,0,1,51,12,30
781,1,0,4,56,1
782,1,1,63,5,25
783,1,0,24,43,3
784,0,0,54,3,20
785,0,1,39,47,13
786,0,0,84,16,3
787,0,1,2,34,16
788,1,1,93,45,12
789,0,0,70,61,17
790,0,1,76,75,0
791,0,1,21,19,7
792,0,1,44,64,11
793,1,0,33,61,7
794,1,1,5,12,3
795,0,0,98,79,0
796,1,0,15,6,23
797,1,0,49,42,5
798,1,0,32,28,5
799,1,0,100,87,0
800,1,0,24,0,13
801,1,1,38,59,7
802,0,0,0,55,14
803,1,1,72,59,30
804,0,0,69,4,30
805,0,1,43,31,2
806,1,1,55,31,22
807,0,1,82,11,9
808,0,1,23,79,0
809,0,0,100,83,0
810,0,1,88,75,0
811,1,0,5,16,30
812,1,0,97,100,0
813,0,0,9,41,30
814,0,0,40,50,18
815,0,0,76,96,0
816,0,1,100,40,8
817,1,0,57,71,0
818,1,1,37,14,18
819,1,1,35,50,0
820,0,0,94,50,8
821,0,1,72,82,0
822,1,0,15,55,18
823,0,0,15,16,20
824,1,0,64,60,16
825,0,1,96,72,0
826,1,1,42,80,0
827,0,0,45,3,16
828,0,0,11,37,14
829,0,0,13,24,6
830,0,1,85,78,0
831,1,0,13,59,3
832,0,1,62,41,1
833,1,1,52,84,0
834,1,0,40,11,24
835,1,0,65,23,24
836,0,1,59,36,10
837,1,0,9,32,14
838,0,1,4,5,18
839,1,0,14,34,30
840,0,1,47,24,19
841,0,1,14,55,22
842,1,1,16,21,30
843,1,0,11,4,4
844,0,0,72,51,12
845,1,1,5,100,0
846,0,1,87,58,9
847,0,1,28,82,0
848,1,0,92,23,11
849,1,1,50,82,0
850,1,0,2,92,0
851,1,0,42,88,0
852,0,0,96,24,0
853,0,0,18,56,19
854,0,1,56,79,0
855,0,0,1,75,0
856,1,0,56,69,9
857,0,1,74,69,16
858,0,0,85,91,0
859,0,0,38,66,1
860,1,0,3,63,2
861,1,1,47,28,0
862,0,0,89,75,0
863,1,1,35,93,0
864,0,1,80,72,0
865,0,1,86,26,22
866,0,0,68,10,6
867,1,1,23,99,0
868,1,0,57,27,16
869,1,0,0,22,15
870,1,1,7,26,28
871,1,1,50,71,0
872,0,0,65,40,9
873,0,1,68,73,0
874,0,1,61,85,0
875,0,0,55,25,8
876,0,0,12,100,0
877,0,1,69,9,30
878,1,1,47,70,0
879,0,0,75,70,0
880,1,0,14,24,2
881,1,1,69,93,0
882,0,1,49,18,25
883,0,0,87,32,4
884,1,0,67,12,16
885,0,1,10,72,0
886,0,1,76,18,15
887,1,0,3,46,30
888,1,0,98,24,27
889,0,0,55,44,4
890,0,1,42,19,19
891,0,0,58,33,25
892,0,1,93,40,21
893,1,1,37,13,6
894,0,0,59,42,25
895,0,1,91,38,20
896,1,1,92,19,6
897,1,0,31,60,17
898,1,0,68,34,22
899,1,0,39,63,28
900,0,1,73,2,6
901,0,1,4,26,1
902,0,1,62,94,0
903,1,0,83,98,0
904,0,0,53,23,26
905,1,1,40,9,12
906,1,0,47,74,0
907,1,0,71,48,18
908,1,0,69,7,17
909,0,1,79,33,22
910,1,0,88,53,26
911,0,0,87,83,0
912,1,0,22,14,18
913,1,1,26,13,14
914,1,1,13,75,0
915,1,0,42,14,22
916,0,1,15,2,30
917,0,0,5,81,0
918,1,0,85,21,11
919,1,1,28,35,10
920,1,0,4,81,0
921,1,0,14,12,7
922,0,0,3,65,2
923,0,1,56,46,23
924,1,1,56,55,14
925,0,1,83,100,0
926,1,0,84,26,19
927,1,0,6,74,0
928,1,0,55,24,4
929,0,1,40,74,0
930,1,0,7,57,28
931,1,0,91,57,12
932,1,1,8,87,0
933,1,0,80,74,0
934,0,1,53,39,9
935,1,1,65,95,0
936,0,0,49,79,0
937,1,1,33,47,13
938,0,0,60,96,0
939,1,1,45,17,17
940,0,1,100,95,0
941,1,0,36,79,0
942,0,0,4,48,10
943,0,0,66,43,26
944,0,0,97,81,0
945,0,0,44,25,25
946,1,0,81,99,0
947,0,1,88,17,10
948,1,0,68,3,12
949,0,0,25,98,0
950,0,1,19,98,0
951,0,0,64,35,5
952,1,1,35,33,12
953,1,0,48,4,21
954,1,0,84,66,21
955,1,0,42,48,27
956,1,1,96,78,0
957,0,0,32,4,24
958,0,0,69,15,2
959,0,1,3,89,0
960,0,1,43,23,10
961,0,1,71,37,1
962,1,0,63,94,0
963,1,1,18,11,2
964,1,0,69,11,15
965,0,1,80,60,0
966,0,1,67,52,30
967,1,0,28,56,22
968,1,0,82,49,13
969,0,0,57,94,0
970,0,1,93,7,24
971,0,1,76,61,28
972,1,0,8,4,19
973,1,0,69,96,0
974,0,0,57,81,0
975,0,1,34,62,10
976,0,0,6,61,26
977,1,0,24,93,0
978,1,0,77,41,12
979,0,0,53,65,29
980,1,1,50,90,0
981,1,1,19,99,0
982,0,1,27,30,7
983,0,0,100,25,14
984,0,1,73,13,6
985,0,0,60,87,0
986,1,1,59,75,0
987,1,1,64,88,0
988,0,0,89,70,0
989,1,1,83,93,0
990,0,1,34,2,27
991,1,0,98,82,0
992,0,1,27,9,13
993,1,1,88,35,1
994,0,1,1,25,28
995,0,1,89,99,0
996,1,0,60,34,15
997,1,0,100,15,29
998,0,0,45,33,29
999,0,1,88,85,0
1000,1,0,67,53,7
1001,0,0,0,93,0
1002,0,1,4,94,0
1003,0,0,20,40,19
1004,0,1,36,78,0
1005,0,1,63,0,15
1006,1,0,37,73,0
1007,1,0,32,84,0
1008,1,1,9,8,12
1009,0,1,35,17,15
1010,1,1,100,41,1
1011,1,1,55,63,14
1012,0,1,75,13,12
1013,0,1,15,73,0
1014,0,0,54,24,16
1015,1,1,56,59,18
1016,0,1,89,11,6
1017,1,0,65,78,0
1018,0,0,53,7,24
1019,1,0,52,52,15
1020,0,0,2,17,2
1021,0,0,50,12,12
1022,0,0,95,26,25
1023,0,1,94,59,30
1024,0,1,45,88,0
1025,0,0,4,76,0
1026,1,1,70,37,25
1027,0,0,50,64,19
1028,0,1,95,86,0
1029,0,0,6,45,14
1030,0,0,42,32,10
1031,0,1,24,7,12
1032,0,1,62,28,9
1033,1,1,20,18,26
1034,0,0,91,47,17
1035,0,1,30,37,24
1036,1,1,30,50,16
1037,1,1,23,70,0
1038,1,0,93,25,15
1039,0,0,12,52,13
1040,0,1,79,61,1
1041,0,1,10,47,3
1042,0,1,27,3,6
1043,0,1,7,31,9
1044,1,1,45,23,5
1045,1,1,94,22,2
1046,0,0,35,20,22
1047,0,1,68,66,18
1048,0,1,59,60,14
1049,1,1,21,56,20
1050,0,1,93,11,19
1051,0,0,35,84,0
1052,1,0,16,100,0
1053,0,0,76,39,18
1054,0,1,53,57,22
1055,0,1,84,32,1
1056,1,1,28,9,16
1057,1,0,90,81,0
1058,0,0,64,8,20
1059,0,0,28,66,0
1060,1,1,27,5,2
1061,0,0,54,17,25
1062,0,1,67,65,8
1063,0,1,76,19,17
1064,1,1,41,17,28
1065,1,1,47,51,17
1066,1,1,24,93,0
1067,1,1,20,56,16
1068,1,1,99,36,5
1069,0,1,82,31,4
1070,1,1,41,75,0
1071,1,1,16,29,1
1072,1,0,78,25,7
1073,0,1,79,30,18
1074,1,1,23,69,9
1075,1,0,19,80,0
1076,0,1,10,32,26
1077,1,0,29,49,11
1078,1,0,79,54,28
1079,0,1,85,24,7
1080,0,1,90,65,19
1081,1,0,33,52,6
1082,0,0,78,6,20
1083,1,1,90,23,26
1084,0,1,2,75,0
1085,0,1,11,60,26
1086,1,1,1,13,14
1087,0,1,19,50,28
1088,1,0,73,60,14
1089,0,0,60,73,0
1090,0,0,95,65,14
1091,1,0,75,58,30
1092,1,0,85,37,19
1093,1,0,7,23,13
1094,0,0,25,1,16
1095,0,1,18,62,15
1096,1,1,72,73,0
1097,1,0,63,40,15
1098,0,1,88,34,13
1099,1,0,79,47,11
1100,1,0,77,7,18
1101,1,0,22,73,0
1102,0,1,80,59,16
1103,0,0,52,20,14
1104,1,1,27,63,28
1105,0,0,83,78,0
1106,0,0,53,4,24
1107,0,1,92,46,15
1108,1,1,98,16,18
1109,0,1,55,73,0
1110,0,1,87,48,4
1111,0,0,99,62,1
1112,1,1,97,10,20
1113,0,0,10,49,13
1114,0,0,54,2,6
1115,1,0,37,95,0
1116,1,0,53,54,24
1117,1,1,64,68,12
1118,0,0,16,74,0
1119,1,1,29,15,30
1120,0,1,12,26,20
1121,1,0,32,58,11
1122,1,0,57,5,9
1123,1,0,73,48,28
1124,0,0,77,90,0
1125,0,0,47,63,26
1126,1,0,48,29,5
1127,1,1,10,61,12
1128,1,1,52,74,0
1129,1,0,66,26,14
1130,0,1,8,29,19
1131,1,0,33,94,0
1132,0,1,31,30,10
1133,0,0,1,65,26
1134,1,1,73,80,0
1135,0,1,45,19,28
1136,1,1,16,9,0
1137,1,0,93,60,18
1138,0,0,66,0,19
1139,1,1,51,94,0
1140,1,1,26,32,20
1141,0,1,79,53,10
1142,1,0,30,51,19
1143,1,1,25,37,30
1144,1,0,47,25,26
1145,1,1,2,53,9
1146,0,1,38,83,0
1147,0,0,27,62,9
1148,1,0,27,16,29
1149,1,1,38,64,19
