,time,avail,forcast_avail,bottom_level,top_level,percentage
261,9,0,0,97,69,0
262,18,0,0,82,41,10
263,2,1,0,65,75,0
264,20,1,1,64,77,0
265,18,0,0,5,98,0
266,3,1,1,86,95,0
267,4,0,1,40,39,9
268,10,0,0,72,74,0
269,8,1,0,49,25,18
270,23,1,1,75,24,18
271,3,1,0,96,55,13
272,19,1,0,8,2,0
273,17,1,0,85,39,1
274,6,1,0,24,29,0
275,10,1,1,32,78,0
276,23,1,1,33,59,24
277,23,1,0,16,90,0
278,15,0,0,31,6,14
279,21,0,1,77,42,0
280,10,1,1,100,96,0
281,23,0,1,88,26,1
282,16,0,0,98,48,0
283,14,1,1,10,42,0
284,6,1,0,80,61,9
285,22,1,0,88,10,12
286,7,1,0,76,45,13
287,5,1,1,27,73,0
288,6,0,1,87,88,0
289,9,0,1,89,26,3
290,12,1,0,37,91,0
291,21,1,0,89,98,0
292,1,0,1,79,64,4
293,23,1,1,79,70,4
294,2,1,0,75,86,0
295,17,1,1,10,67,0
296,18,1,1,86,55,1
297,12,0,1,17,54,0
298,14,0,0,54,31,2
299,12,1,1,35,28,3
300,11,1,1,71,38,0
301,19,1,0,30,80,0
302,3,0,1,97,69,10
303,3,0,1,46,59,1
304,7,0,1,38,69,5
305,13,1,1,29,54,0
306,4,1,0,57,75,0
307,8,0,1,2,50,0
308,4,0,0,61,94,0
309,8,0,1,85,76,0
310,18,0,1,32,56,23
311,12,0,1,50,39,3
312,5,1,0,64,12,30
313,10,1,0,19,77,0
314,1,0,1,16,74,0
315,1,1,0,53,57,6
316,17,0,1,0,88,0
317,4,1,1,98,94,0
318,4,0,1,6,84,0
319,22,0,0,47,100,0
320,3,1,0,25,81,0
321,12,0,0,67,0,6
322,22,0,1,36,81,0
323,16,1,0,34,82,0
324,17,0,1,38,7,11
325,8,1,0,11,55,0
326,23,1,0,62,24,6
327,4,1,1,34,16,19
328,8,0,1,69,21,2
329,5,0,0,61,47,6
330,9,1,0,13,45,0
331,6,0,1,71,47,0
332,1,0,0,93,70,9
333,7,1,0,20,91,0
334,1,1,1,33,57,16
335,20,0,0,17,47,0
336,23,1,1,93,71,0
337,15,0,1,96,11,10
338,21,0,0,58,25,10
339,16,1,1,29,96,0
340,17,1,0,8,7,0
341,11,0,1,52,46,9
342,4,0,1,42,91,0
343,0,1,1,50,79,0
344,6,1,1,34,88,0
345,19,0,1,49,21,19
346,20,1,0,51,67,4
347,3,0,0,51,22,2
348,22,0,0,17,13,0
349,20,0,1,78,55,23
350,13,0,0,21,95,0
351,17,1,0,93,43,7
352,12,1,1,88,68,23
353,16,0,1,85,18,9
354,11,1,1,31,23,25
355,7,1,1,82,6,29
356,6,1,1,82,87,0
357,22,1,0,0,33,0
358,17,1,1,26,72,0
359,20,1,0,63,48,28
360,17,1,0,57,52,30
361,5,1,1,20,43,0
362,15,1,1,8,77,0
363,19,0,0,49,11,9
364,11,0,0,43,24,2
365,4,0,1,74,23,2
366,6,0,1,64,57,7
367,8,1,0,20,53,0
368,19,0,0,88,34,5
369,4,0,0,67,68,10
370,1,0,0,48,49,2
371,22,0,0,69,16,2
372,0,0,1,88,83,0
373,16,0,0,53,63,6
374,8,1,1,79,79,0
375,0,0,0,30,24,10
376,16,1,0,47,90,0
377,19,0,0,22,11,0
378,22,1,1,99,69,7
379,15,0,1,42,32,2
380,15,1,1,40,82,0
381,3,1,0,52,25,6
382,9,0,1,21,27,0
383,23,1,0,96,31,7
384,8,1,1,76,14,25
385,2,0,1,76,58,7
386,10,0,1,4,19,0
387,9,1,1,95,25,28
388,17,0,1,71,86,0
389,18,0,1,83,47,9
390,1,1,0,1,70,0
391,6,1,0,77,92,0
392,5,1,0,19,71,0
393,0,0,0,65,73,0
394,4,0,1,78,7,6
395,11,0,0,16,65,0
396,5,1,0,14,54,0
397,13,0,0,70,31,9
398,9,1,1,24,30,0
399,1,0,1,31,37,3
400,20,0,0,49,57,3
401,6,0,0,96,10,7
402,5,0,0,1,59,0
403,3,1,1,16,68,0
404,5,1,0,69,52,14
405,3,0,0,71,1,7
406,17,1,0,67,59,29
407,10,1,1,99,4,26
408,0,0,0,84,10,13
409,21,0,1,61,32,23
410,22,1,1,73,2,24
411,11,0,1,70,90,0
412,10,1,0,4,89,0
413,0,0,0,26,28,0
414,6,0,1,52,4,15
415,15,0,0,33,77,0
416,22,0,0,38,49,8
417,20,0,1,10,58,0
418,8,0,1,72,20,6
419,13,0,1,4,33,0
420,10,0,0,86,67,7
421,20,0,0,50,90,0
422,10,1,1,90,41,8
423,3,0,1,26,24,0
424,14,0,1,50,47,2
425,20,1,1,31,59,12
426,3,1,1,99,39,9
427,12,0,1,72,60,1
428,2,0,1,9,49,0
429,23,1,1,85,84,0
430,15,0,0,28,26,0
431,9,1,1,87,34,19
432,14,1,1,11,79,0
433,20,0,0,66,89,0
434,23,0,1,41,51,27
435,11,1,0,48,86,0
436,17,0,1,27,25,0
437,23,1,1,92,55,16
438,20,0,1,86,38,22
439,15,1,1,53,20,25
440,8,0,0,57,9,11
441,3,0,1,93,28,3
442,18,0,0,71,27,1
443,3,0,0,94,19,10
444,0,0,1,77,54,1
445,15,0,0,11,34,0
446,3,1,1,88,45,12
447,23,0,1,17,77,0
448,1,0,1,70,95,0
449,9,1,1,49,92,0
450,9,1,0,60,69,26
451,6,1,1,90,79,0
452,17,1,1,14,72,0
453,9,0,0,61,33,5
454,3,1,0,15,2,0
455,7,1,0,77,37,17
456,18,0,0,9,3,0
457,6,0,1,59,49,0
458,16,1,0,100,0,23
459,23,0,1,1,13,0
460,3,1,0,16,25,0
461,2,0,1,60,33,10
462,10,0,1,91,48,2
463,1,1,0,70,7,20
464,6,0,1,84,60,5
465,20,0,1,100,20,10
466,3,1,0,91,95,0
467,14,1,0,40,4,27
468,10,1,1,17,82,0
469,16,1,1,28,18,0
470,4,0,0,90,42,8
471,20,0,0,23,82,0
472,13,1,1,26,59,0
473,0,0,0,77,98,0
474,21,0,0,36,98,0
475,15,1,1,77,29,12
476,4,1,0,58,91,0
477,17,0,1,17,59,0
478,18,1,1,52,60,4
479,17,0,1,1,83,0
480,17,0,1,70,33,10
481,3,0,0,39,17,2
482,3,1,0,5,83,0
483,2,1,1,12,99,0
484,14,1,0,20,81,0
485,19,1,0,18,8,0
486,6,1,0,39,30,20
487,6,0,1,49,51,6
488,3,1,1,50,99,0
489,22,1,1,76,4,30
490,21,0,0,36,2,13
491,3,1,0,99,77,0
492,22,0,0,5,5,0
493,3,0,0,10,17,0
494,10,0,0,24,96,0
495,3,1,0,55,34,12
496,19,1,1,87,36,15
497,2,1,0,99,33,0
498,17,1,1,13,33,0
499,0,0,1,25,16,0
500,20,0,0,33,88,0
501,14,1,1,2,62,0
502,3,1,0,95,78,0
503,19,1,0,31,12,14
504,4,0,0,15,49,0
505,7,1,0,65,71,0
506,4,1,0,68,92,0
507,18,0,0,43,23,7
508,22,1,0,11,51,0
509,23,0,0,79,37,8
510,5,1,0,57,7,28
511,2,0,1,16,64,0
512,19,1,0,20,50,0
513,16,0,0,88,54,0
514,12,0,0,7,51,0
515,18,0,0,22,51,0
516,15,0,0,84,30,5
517,6,1,0,69,69,17
518,17,1,0,17,2,0
519,9,0,0,80,70,3
520,12,0,1,97,46,2
521,10,0,1,3,94,0
522,23,1,1,58,8,24
523,10,0,0,27,49,0
524,1,1,0,88,92,0
525,13,1,1,18,43,0
526,15,1,0,63,42,2
527,0,0,0,47,3,14
528,3,1,1,27,60,0
529,20,0,0,27,17,0
530,8,1,1,15,59,0
531,8,1,1,88,17,25
532,13,0,1,12,68,0
533,23,0,1,91,35,10
534,9,0,1,47,41,4
535,11,1,0,14,8,0
536,20,1,0,35,80,0
537,10,1,1,84,44,13
538,8,1,1,87,89,0
539,0,0,0,20,27,0
540,13,0,0,28,63,0
541,23,0,1,77,67,6
542,12,0,1,75,24,8
543,20,1,0,99,90,0
544,4,1,0,60,51,23
545,18,1,0,91,4,27
546,7,0,1,61,48,4
547,21,0,1,50,85,0
548,5,1,0,7,25,0
549,17,0,0,64,32,9
550,3,0,0,47,89,0
551,6,1,0,97,26,17
552,3,1,0,28,31,0
553,5,1,0,68,30,16
554,13,0,0,70,54,7
555,5,1,0,49,33,13
556,2,0,1,45,19,5
557,21,0,0,1,53,0
558,5,0,0,53,49,9
559,17,0,1,89,80,0
560,4,1,1,3,99,0
561,18,1,1,19,38,0
562,9,0,0,26,52,0
563,11,1,0,38,62,12
564,10,1,1,74,32,22
565,5,1,0,24,36,0
566,6,1,0,64,34,30
567,2,1,1,62,71,0
568,14,1,1,7,96,0
569,14,0,1,44,9,11
570,14,1,0,83,16,5
571,19,0,0,11,56,0
572,5,0,0,12,54,0
573,6,0,0,80,94,0
574,2,1,1,46,84,0
575,19,0,1,46,25,14
576,0,0,1,39,23,10
577,14,1,0,25,14,0
578,8,0,0,15,75,0
579,21,0,0,41,78,0
580,18,1,0,80,61,3
581,14,0,1,68,45,6
582,0,0,0,30,11,1
583,19,0,0,12,46,0
584,16,0,1,84,94,0
585,8,0,0,98,79,0
586,8,1,0,3,1,0
587,3,1,1,36,63,6
588,13,0,0,71,100,0
589,19,1,0,58,26,24
590,16,0,1,66,81,0
591,19,1,0,41,63,23
592,21,1,1,10,23,0
593,2,0,1,46,97,0
594,21,1,1,72,1,26
595,0,1,0,30,83,0
596,22,1,0,46,26,1
597,0,1,0,63,47,3
598,11,0,0,57,34,5
599,15,0,1,64,64,1
600,8,1,0,70,85,0
601,20,0,0,92,24,0
602,20,1,0,37,38,14
603,20,0,0,47,18,7
604,10,1,1,39,14,17
605,4,0,0,46,67,8
606,16,0,0,76,91,0
607,8,0,1,79,23,10
608,6,0,0,44,20,6
609,10,0,0,0,41,0
610,7,1,1,2,35,0
611,20,0,1,27,63,0
612,3,1,0,19,48,0
613,8,1,1,81,94,0
614,22,1,1,80,99,0
615,10,1,0,92,73,0
616,0,0,1,33,65,5
617,0,0,0,71,18,1
618,0,0,0,62,73,0
619,10,0,1,13,3,0
620,9,1,0,83,39,17
621,14,0,1,89,49,3
622,8,0,1,3,18,0
623,23,1,0,40,51,3
624,18,0,0,92,16,8
625,5,0,1,2,63,0
626,6,1,0,90,97,0
627,6,0,0,51,72,0
628,8,0,0,68,41,6
629,1,0,0,4,71,0
630,6,1,1,100,10,26
631,17,1,0,16,61,0
632,21,0,1,81,71,0
633,15,0,1,78,52,1
634,12,0,1,35,69,5
635,20,1,0,10,82,0
636,9,0,0,4,0,0
637,21,0,1,91,44,26
638,16,0,1,76,28,5
639,17,0,0,12,99,0
640,2,0,1,17,32,0
641,7,0,1,9,45,0
642,17,1,0,96,39,4
643,9,0,1,18,44,0
644,1,0,0,53,1,13
645,6,1,1,5,63,0
646,15,0,1,13,21,0
647,3,0,1,50,51,0
648,7,1,1,29,69,0
649,15,0,1,70,54,5
650,23,1,1,44,0,30
651,16,1,1,60,72,0
652,5,1,0,21,88,0
653,8,0,0,100,5,8
654,12,1,0,84,26,3
655,6,0,0,97,46,8
656,11,1,0,6,80,0
657,8,0,0,95,77,0
658,4,0,1,51,75,0
659,14,0,0,27,20,0
660,23,0,0,49,69,7
661,21,0,0,81,21,2
662,13,1,1,56,51,20
663,2,0,1,71,85,0
664,3,1,1,7,13,0
665,18,1,0,84,89,0
666,6,0,1,79,60,1
667,2,1,0,35,62,7
668,6,0,0,34,94,0
669,13,0,1,14,60,0
670,20,0,0,80,19,4
671,21,0,0,35,100,0
672,4,1,1,81,20,22
673,0,1,0,59,23,8
674,22,0,1,25,56,0
675,22,0,1,38,62,0
676,3,0,1,3,36,0
677,0,1,0,2,82,0
678,11,0,0,67,33,9
679,21,0,0,54,83,0
680,14,0,1,83,52,5
681,0,1,1,84,31,1
682,5,0,1,20,61,0
683,6,1,0,16,36,0
684,14,1,1,16,25,0
685,12,1,1,74,63,4
686,7,1,0,21,85,0
687,7,1,0,77,99,0
688,12,0,1,99,44,1
689,2,1,0,69,89,0
690,5,1,0,92,39,20
691,12,0,0,58,46,1
692,11,1,0,90,10,25
693,20,1,1,78,96,0
694,17,0,1,65,36,9
695,1,1,1,67,79,0
696,18,0,0,92,33,7
697,6,1,0,43,88,0
698,3,0,0,54,45,7
699,17,1,1,41,56,0
700,2,1,0,6,22,0
701,16,1,0,20,67,0
702,21,1,1,43,68,30
703,12,0,1,79,23,9
704,18,1,0,90,49,27
705,22,1,0,12,20,0
706,20,0,0,10,76,0
707,8,0,1,54,99,0
708,3,0,1,35,47,3
709,0,1,1,52,63,24
710,11,0,1,83,23,6
711,9,1,1,100,19,29
712,9,0,1,34,10,9
713,2,0,1,68,75,0
714,16,1,0,16,20,0
715,22,0,0,68,54,10
716,0,1,1,51,4,30
717,19,1,0,63,76,0
718,14,1,0,89,95,0
719,0,1,1,31,67,9
720,10,0,1,58,4,9
721,3,1,1,27,7,0
722,18,1,1,65,36,3
723,10,1,1,39,32,8
724,9,0,1,40,61,1
725,11,1,1,11,70,0
726,11,1,0,5,41,0
727,23,0,1,87,54,7
728,20,1,0,44,13,17
729,6,0,1,60,12,0
730,17,1,0,7,90,0
731,22,0,0,74,68,2
732,19,1,1,27,50,0
733,2,0,1,56,60,0
734,18,1,0,13,4,0
735,20,0,0,36,30,3
736,19,1,1,71,26,27
737,2,1,1,21,53,0
738,7,0,1,31,90,0
739,13,0,0,36,73,0
740,23,1,0,79,52,5
741,6,0,1,53,11,1
742,11,0,1,12,45,0
743,15,1,0,79,99,0
744,9,0,1,98,66,8
745,15,1,1,96,53,4
746,0,0,1,46,29,5
747,15,1,1,84,99,0
748,8,1,1,55,68,2
749,6,0,0,60,12,6
750,5,1,0,79,35,27
751,18,0,0,4,64,0
752,19,1,0,91,84,0
753,8,1,0,49,33,16
754,17,0,1,87,75,0
755,12,1,0,58,17,11
756,20,1,0,74,69,10
757,12,0,0,56,53,9
758,11,0,1,12,5,0
759,3,0,0,25,23,0
760,19,0,0,64,54,2
761,14,0,0,13,2,0
762,18,1,0,34,63,24
763,12,1,1,17,28,0
764,16,0,0,23,37,0
765,7,0,0,68,12,0
766,17,0,0,45,95,0
767,13,1,1,68,70,11
768,12,0,1,25,48,0
769,3,0,1,13,21,0
770,7,1,1,51,40,18
771,0,1,0,26,76,0
772,11,0,0,71,13,2
773,10,1,1,9,67,0
774,1,1,0,93,66,13
775,20,1,1,72,83,0
776,11,0,0,32,89,0
777,18,1,1,65,14,9
778,2,1,1,78,54,16
779,14,0,1,15,29,0
780,18,1,1,11,31,0
781,16,1,0,48,95,0
782,19,1,1,59,50,29
783,0,1,0,25,4,0
784,9,0,1,73,5,14
785,3,1,0,92,93,0
786,13,1,0,8,11,0
787,13,0,0,56,99,0
788,3,1,0,69,97,0
789,11,0,1,52,19,2
790,3,0,0,41,27,3
791,7,0,0,29,80,0
792,6,0,0,10,69,0
793,22,1,0,74,59,6
794,16,0,1,57,60,3
795,21,1,0,67,31,2
796,23,1,0,62,57,0
797,18,0,1,30,42,27
798,3,1,1,22,35,0
799,10,1,1,53,91,0
800,14,0,0,60,90,0
801,0,0,1,48,100,0
802,14,1,0,40,39,25
803,18,0,0,65,85,0
804,14,1,1,16,61,0
805,0,1,0,73,72,0
806,13,1,1,34,65,4
807,10,1,1,45,88,0
808,12,0,0,68,82,0
809,8,1,1,86,51,14
810,5,0,1,55,56,7
811,3,0,0,80,63,1
812,16,0,1,3,86,0
813,7,0,0,43,54,1
814,12,0,0,22,74,0
815,13,1,0,91,78,0
816,11,0,0,71,27,5
817,13,1,0,43,94,0
818,7,1,0,57,52,4
819,22,1,1,25,74,0
820,1,0,1,16,50,0
821,7,1,1,29,92,0
822,1,1,1,37,88,0
823,3,1,1,95,22,21
824,19,1,0,58,39,1
825,16,1,1,80,43,14
826,20,1,1,35,61,29
827,22,1,0,96,26,3
828,16,0,1,63,29,1
829,11,0,1,90,70,2
830,14,0,1,96,18,0
831,12,1,0,30,77,0
832,1,1,1,84,72,0
833,15,0,1,85,27,6
834,22,1,1,8,79,0
835,19,1,1,7,80,0
836,14,0,0,68,35,4
837,2,1,1,88,27,14
838,8,0,1,57,23,4
839,13,1,0,38,22,0
840,16,1,0,76,99,0
841,23,0,0,2,41,0
842,18,1,1,44,13,1
843,17,1,0,32,84,0
844,10,1,0,17,35,0
845,8,1,1,30,89,0
846,8,1,1,93,86,0
847,18,1,0,64,73,0
848,5,1,0,11,98,0
849,4,0,1,13,80,0
850,11,0,0,8,20,0
851,0,0,0,42,35,1
852,20,1,1,27,11,0
853,11,0,0,71,33,3
854,18,1,0,83,19,10
855,4,0,1,73,21,5
856,0,0,0,69,82,0
857,15,1,1,5,6,0
858,20,1,0,24,46,0
859,18,0,1,92,35,8
860,12,0,0,51,57,0
861,14,1,1,22,1,0
862,2,1,1,52,7,29
863,4,1,1,69,45,13
864,20,1,0,20,37,0
865,6,0,0,13,72,0
866,0,0,0,82,63,0
867,1,1,0,19,17,0
868,8,1,0,1,25,0
869,16,1,0,94,11,5
870,12,0,1,15,27,0
871,5,0,0,52,55,1
872,6,1,0,83,51,19
873,7,0,1,29,49,0
874,23,1,0,48,68,5
875,3,0,0,34,13,0
876,9,0,0,1,83,0
877,19,1,0,15,70,0
878,8,1,0,3,97,0
879,8,0,1,71,58,8
880,11,0,0,11,34,0
881,14,1,0,11,42,0
882,7,1,1,33,9,29
883,3,0,1,60,30,4
884,10,1,0,46,43,16
885,21,0,1,11,45,0
886,16,1,0,9,95,0
887,12,1,1,43,68,2
888,6,1,0,60,56,0
889,16,0,1,74,28,1
890,11,0,0,87,70,0
891,6,0,0,34,88,0
892,19,0,0,42,84,0
893,7,1,1,66,83,0
894,18,1,1,13,70,0
895,0,0,1,19,99,0
896,3,1,1,53,90,0
897,8,0,0,39,36,8
898,0,1,1,50,7,29
899,4,0,0,23,79,0
900,0,1,0,6,31,0
901,1,1,1,79,21,4
902,15,0,1,40,22,2
903,21,0,0,27,25,0
904,22,1,0,39,7,8
905,5,0,1,32,7,9
906,12,0,1,57,68,5
907,5,1,0,92,52,18
908,3,0,0,7,28,0
909,6,0,0,56,68,5
910,19,0,1,53,5,20
911,10,1,0,49,95,0
912,13,0,1,64,58,7
913,18,0,1,2,79,0
914,21,1,1,96,14,11
915,23,1,0,8,93,0
916,2,1,1,39,68,22
917,20,0,0,70,100,0
918,23,0,1,95,44,18
919,17,1,0,79,61,29
920,17,0,0,36,82,0
921,22,0,1,93,15,4
922,19,1,1,76,78,0
923,15,1,1,41,1,23
924,18,0,1,61,57,25
925,18,1,1,70,29,26
926,15,0,1,33,66,4
927,19,0,0,71,62,6
928,5,1,1,61,13,12
929,3,0,0,79,10,12
930,15,1,1,33,62,1
931,19,1,1,52,27,10
932,19,1,0,65,18,2
933,18,1,1,78,89,0
934,0,1,0,83,88,0
935,23,0,1,1,35,0
936,7,0,1,20,14,0
937,23,0,1,55,59,25
938,18,1,1,9,49,0
939,5,0,0,47,58,0
940,4,1,0,40,24,17
941,17,1,0,33,37,21
942,17,1,0,30,90,0
943,16,1,0,84,64,10
944,11,1,0,60,34,13
945,2,1,1,45,9,28
946,4,1,0,13,78,0
947,3,1,0,93,45,20
948,19,1,0,34,67,19
949,1,0,1,55,14,4
950,3,1,0,38,25,19
951,6,0,0,45,88,0
952,0,0,0,94,57,7
953,8,0,0,40,6,9
954,2,0,1,55,36,4
955,11,1,1,60,21,6
956,22,0,0,12,35,0
957,18,1,1,74,26,15
958,0,1,1,17,97,0
959,1,0,0,85,80,0
960,8,0,0,62,100,0
961,9,0,1,6,70,0
962,14,1,1,80,35,26
963,15,1,1,30,79,0
964,15,1,0,33,97,0
965,6,0,1,99,24,1
966,4,0,1,76,55,10
967,14,1,1,52,12,7
968,2,1,1,67,25,8
969,10,0,0,51,53,8
970,18,0,1,41,85,0
971,11,0,0,46,59,8
972,12,0,1,29,77,0
973,9,1,1,35,89,0
974,7,0,0,79,48,3
975,7,1,1,41,100,0
976,12,1,0,93,92,0
977,1,0,1,52,62,0
978,19,1,0,8,65,0
979,18,0,0,27,16,0
980,18,1,1,46,63,21
981,8,0,0,30,28,8
982,16,0,0,41,45,4
983,21,1,1,57,84,0
984,1,0,1,57,71,0
985,15,1,0,71,88,0
986,22,1,0,19,34,0
987,22,1,1,70,83,0
988,16,1,1,21,89,0
989,4,0,1,16,47,0
990,20,0,1,7,55,0
991,22,0,1,75,92,0
992,14,0,1,74,9,7
993,14,1,0,34,73,0
994,6,0,0,25,76,0
995,21,0,0,65,95,0
